,Gene,Gene Name,Target,For Length,For Score,Rev Length,Rev Score,Gene Length,Outcome,Manual
29,BBF10K_000320,MMSYN1_0695,backbone,498,498,483,483,893,Perfect,Original Vector Sequence
30,BBF10K_000298,MMSYN1_0656,gene,515,515,508,508,543,Perfect,0
31,BBF10K_000203,MMSYN1_0425,gene,537,537,546,546,1131,Perfect,0
32,BBF10K_000066,MMSYN1_0147,gene,523,523,507,507,1530,Perfect,0
33,BBF10K_000210,MMSYN1_0432,gene,517,517,540,540,1164,Perfect,0
34,BBF10K_000333,MMSYN1_0733,gene,567,567,514,514,1677,Perfect,0
35,BBF10K_000338,MMSYN1_0775,gene,546,481,483,483,2115,Bad Forward,Partial
36,BBF10K_000338,MMSYN1_0775,backbone,546,228,483,205,893,Bad clone,Partial
37,BBF10K_000032,MMSYN1_0065,gene,495,137,543,134,309,Bad clone,Original Vector Sequence
38,BBF10K_000032,MMSYN1_0065,backbone,495,495,543,543,893,Perfect,Original Vector Sequence
39,BBF10K_000148,MMSYN1_0344,gene,464,464,527,527,561,Perfect,0
40,BBF10K_000110,MMSYN1_0257,gene,521,521,537,537,1752,Perfect,0
41,BBF10K_000167,MMSYN1_0377,gene,469,469,524,524,1302,Perfect,0
42,BBF10K_000049,MMSYN1_0117,gene,467,467,516,516,762,Perfect,0
43,BBF10K_000053,MMSYN1_0129,gene,533,533,513,512,1599,Mutation: 0.0 1.0,1
44,BBF10K_000053,MMSYN1_0129,backbone,533,223,513,216,893,Bad clone,1
45,BBF10K_000303,MMSYN1_0663,gene,518,172,467,176,417,Bad clone,Original Vector Sequence
46,BBF10K_000303,MMSYN1_0663,backbone,518,518,467,467,893,Perfect,Original Vector Sequence
47,BBF10K_000287,MMSYN1_0643,gene,546,546,509,509,1227,Perfect,0
48,BBF10K_000300,MMSYN1_0659,gene,521,521,528,528,543,Perfect,0
49,BBF10K_000039,MMSYN1_0095,gene,345,345,555,555,2835,Perfect,0
50,BBF10K_000348,MMSYN1_0794,gene,476,197,522,221,546,Bad clone,Original Vector Sequence
51,BBF10K_000348,MMSYN1_0794,backbone,476,476,522,522,893,Perfect,Original Vector Sequence
52,BBF10K_000346,MMSYN1_0792,gene,493,493,523,523,1578,Perfect,0
53,BBF10K_000230,MMSYN1_0479,gene,519,224,515,225,1647,Bad clone,Unknown Sequence
54,BBF10K_000230,MMSYN1_0479,backbone,519,218,515,218,893,Bad clone,Unknown Sequence
55,BBF10K_000045,MMSYN1_0113,gene,566,275,532,233,1245,Bad clone,Unknown Sequence
56,BBF10K_000045,MMSYN1_0113,backbone,566,238,532,222,893,Bad clone,Unknown Sequence
57,BBF10K_000243,MMSYN1_0516,gene,561,561,521,521,1302,Perfect,0
58,BBF10K_000191,MMSYN1_0410,gene,473,473,534,533,1362,Mutation: 0.0 1.0,1
59,BBF10K_000191,MMSYN1_0410,backbone,473,202,534,227,893,Bad clone,1
60,BBF10K_000001,MMSYN1_0001,gene,535,535,529,529,1353,Perfect,0
61,BBF10K_000029,MMSYN1_0061,gene,536,536,561,561,1269,Perfect,0
62,BBF10K_000013,MMSYN1_0026,gene,486,186,522,194,441,Bad clone,Original Vector Sequence
63,BBF10K_000013,MMSYN1_0026,backbone,486,486,522,522,893,Perfect,Original Vector Sequence
64,BBF10K_000020,MMSYN1_0040,gene,520,520,534,534,1206,Perfect,0
65,BBF10K_000062,MMSYN1_0143,gene,478,478,84,84,1473,Perfect,0
66,BBF10K_000286,MMSYN1_0642,gene,549,549,506,506,912,Perfect,0
67,BBF10K_000050,MMSYN1_0126,gene,523,523,563,563,1452,Perfect,0
68,BBF10K_000364,MMSYN1_0818,gene,533,533,508,507,1431,Mutation: 0.0 1.0,1
69,BBF10K_000364,MMSYN1_0818,backbone,533,220,508,212,893,Bad clone,1
70,BBF10K_000269,MMSYN1_0609,gene,521,521,499,499,1185,Perfect,0
71,BBF10K_000358,MMSYN1_0807,gene,502,197,491,199,498,Bad clone,Original Vector Sequence
72,BBF10K_000358,MMSYN1_0807,backbone,502,502,491,491,893,Perfect,Original Vector Sequence
73,BBF10K_000246,MMSYN1_0519,gene,437,437,531,531,2748,Perfect,0
74,BBF10K_000285,MMSYN1_0641,gene,494,494,507,507,1011,Perfect,0
75,BBF10K_000119,MMSYN1_0282,gene,515,216,507,225,1425,Bad clone,Unknown Sequence
76,BBF10K_000119,MMSYN1_0282,backbone,515,219,507,216,893,Bad clone,Unknown Sequence
77,BBF10K_000312,MMSYN1_0685,gene,567,567,542,542,1602,Perfect,0
78,BBF10K_000127,MMSYN1_0291,gene,555,555,543,543,555,Perfect,0
79,BBF10K_000069,MMSYN1_0150,gene,443,443,501,501,2070,Perfect,0
80,BBF10K_000392,MMSYN1_0878,gene,385,385,546,546,1494,Perfect,0
81,BBF10K_000014,MMSYN1_0027,gene,519,172,525,171,414,Bad clone,Original Vector Sequence
82,BBF10K_000014,MMSYN1_0027,backbone,519,519,525,525,893,Perfect,Original Vector Sequence
83,BBF10K_000227,MMSYN1_0453,gene,516,516,525,525,2697,Perfect,0
84,BBF10K_000372,MMSYN1_0826,gene,511,511,557,557,951,Perfect,0
85,BBF10K_000247,MMSYN1_0523,gene,510,510,492,492,1161,Perfect,0
86,BBF10K_000183,MMSYN1_0402,gene,530,204,479,195,495,Bad clone,Original Vector Sequence
87,BBF10K_000183,MMSYN1_0402,backbone,530,530,479,479,893,Perfect,Original Vector Sequence
88,BBF10K_000083,MMSYN1_0200,gene,463,197,543,222,546,Bad clone,Original Vector Sequence
89,BBF10K_000083,MMSYN1_0200,backbone,463,463,543,543,893,Perfect,Original Vector Sequence
90,BBF10K_000004,MMSYN1_0004,gene,569,569,576,576,801,Perfect,0
91,BBF10K_000330,MMSYN1_0729,gene,561,561,515,515,1596,Perfect,0
92,BBF10K_000235,MMSYN1_0501,gene,302,123,524,133,303,Bad clone,Original Vector Sequence
93,BBF10K_000235,MMSYN1_0501,backbone,302,301,524,524,893,Mutation: 1.0 0.0,Original Vector Sequence
94,BBF10K_000373,MMSYN1_0827,gene,502,501,571,571,1467,Mutation: 1.0 0.0,1
95,BBF10K_000373,MMSYN1_0827,backbone,502,211,571,244,893,Bad clone,1
96,BBF10K_000295,MMSYN1_0653,gene,494,180,491,178,438,Bad clone,Original Vector Sequence
97,BBF10K_000295,MMSYN1_0653,backbone,494,494,491,491,893,Perfect,Original Vector Sequence
98,BBF10K_000390,MMSYN1_0876,gene,528,528,507,507,1581,Perfect,0
99,BBF10K_000176,MMSYN1_0391,gene,504,504,491,491,555,Perfect,0
100,BBF10K_000225,MMSYN1_0451,gene,518,518,544,543,1416,Mutation: 0.0 1.0,1
101,BBF10K_000225,MMSYN1_0451,backbone,518,222,544,231,893,Bad clone,1
102,BBF10K_000314,MMSYN1_0687,gene,554,554,547,547,1440,Perfect,0
103,BBF10K_000375,MMSYN1_0832,gene,560,560,496,496,561,Perfect,0
104,BBF10K_000097,MMSYN1_0229,gene,530,530,533,533,969,Perfect,0
105,BBF10K_000326,MMSYN1_0710,gene,517,517,539,539,864,Perfect,0
106,BBF10K_000353,MMSYN1_0800,gene,6,6,5,4,444,Mutation: 0.0 1.0,Bad Reads
107,BBF10K_000353,MMSYN1_0800,backbone,6,5,5,5,893,Mutation: 1.0 0.0,Bad Reads
108,BBF10K_000282,MMSYN1_0638,gene,492,185,411,174,456,Bad clone,Original Vector Sequence
109,BBF10K_000282,MMSYN1_0638,backbone,492,492,411,411,893,Perfect,Original Vector Sequence
110,BBF10K_000052,MMSYN1_0128,gene,559,428,510,428,429,Mutation: 1.0 1.0,1
111,BBF10K_000052,MMSYN1_0128,backbone,559,238,510,218,893,Bad clone,1
112,BBF10K_000124,MMSYN1_0288,gene,514,514,512,512,1245,Perfect,0
113,BBF10K_000315,MMSYN1_0688,gene,511,510,514,514,1458,Mutation: 1.0 0.0,1
114,BBF10K_000315,MMSYN1_0688,backbone,511,216,514,216,893,Bad clone,1
115,BBF10K_000192,MMSYN1_0411,gene,568,568,556,556,1515,Perfect,0
116,BBF10K_000242,MMSYN1_0515,gene,497,195,528,201,483,Bad clone,Original Vector Sequence
117,BBF10K_000242,MMSYN1_0515,backbone,497,497,528,528,893,Perfect,Original Vector Sequence
118,BBF10K_000350,MMSYN1_0796,gene,488,488,515,515,864,Perfect,0
119,BBF10K_000370,MMSYN1_0824,gene,511,511,516,516,2841,Perfect,0
120,BBF10K_000360,MMSYN1_0810,gene,533,429,468,429,429,Perfect,0
121,BBF10K_000288,MMSYN1_0644,gene,462,150,522,155,360,Bad clone,Original Vector Sequence
122,BBF10K_000288,MMSYN1_0644,backbone,462,462,522,522,893,Perfect,Original Vector Sequence
123,BBF10K_000380,MMSYN1_0837,gene,491,491,558,558,1326,Perfect,0
124,BBF10K_000036,MMSYN1_0079,gene,496,210,510,216,957,Bad clone,Original Vector Sequence
125,BBF10K_000036,MMSYN1_0079,backbone,496,496,510,510,893,Perfect,Original Vector Sequence
126,BBF10K_000136,MMSYN1_0305,gene,538,538,538,538,1077,Perfect,0
127,BBF10K_000327,MMSYN1_0726,gene,502,502,193,193,735,Perfect,0
128,BBF10K_000212,MMSYN1_0434,gene,508,508,535,534,1317,Mutation: 0.0 1.0,1
129,BBF10K_000212,MMSYN1_0434,backbone,508,218,535,223,893,Bad clone,1
130,BBF10K_000068,MMSYN1_0149,gene,531,199,518,197,468,Bad clone,Original Vector Sequence
131,BBF10K_000068,MMSYN1_0149,backbone,531,531,518,518,893,Perfect,Original Vector Sequence
132,BBF10K_000387,MMSYN1_0872,gene,507,507,513,512,1095,Mutation: 0.0 1.0,1
133,BBF10K_000387,MMSYN1_0872,backbone,507,215,513,221,893,Bad clone,1
