,For_align,For_raw,For_score,Gene_id,Outcome,Rev_align,Rev_raw,Rev_score,Total_length
39,506.0,506.0,0.0,BBF10K_001987,sequence_confirmed,562.0,562.0,0.0,979.0
40,457.0,458.0,1.0,BBF10K_001996,mutation_1.0-1.0,474.0,475.0,1.0,619.0
41,422.0,422.0,0.0,BBF10K_002004,mutation_0.0-1.0,443.0,444.0,1.0,1075.0
42,429.0,429.0,0.0,BBF10K_002029,sequence_confirmed,471.0,471.0,0.0,985.0
43,559.0,559.0,0.0,BBF10K_002038,sequence_confirmed,513.0,513.0,0.0,847.0
44,547.0,548.0,1.0,BBF10K_002062,mutation_1.0-1.0,489.0,490.0,1.0,703.0
45,311.0,311.0,0.0,BBF10K_002080,sequence_confirmed,450.0,450.0,0.0,838.0
46,467.0,467.0,0.0,BBF10K_002097,sequence_confirmed,527.0,527.0,0.0,655.0
47,468.0,468.0,0.0,BBF10K_002105,sequence_confirmed,507.0,507.0,0.0,1189.0
48,508.0,508.0,0.0,BBF10K_002110,sequence_confirmed,500.0,500.0,0.0,937.0
49,488.0,488.0,0.0,BBF10K_002132,mutation_0.0-6.0,458.0,464.0,6.0,577.0
50,401.0,401.0,0.0,BBF10K_002140,sequence_confirmed,524.0,524.0,0.0,706.0
51,217.0,217.0,0.0,BBF10K_002148,sequence_confirmed,514.0,514.0,0.0,1009.0
52,362.0,362.0,0.0,BBF10K_002156,sequence_confirmed,519.0,519.0,0.0,649.0
53,436.0,437.0,1.0,BBF10K_002247,mutation_1.0-0.0,523.0,523.0,0.0,1216.0
54,495.0,495.0,0.0,BBF10K_002270,sequence_confirmed,537.0,537.0,0.0,886.0
55,0.0,3.0,3.0,BBF10K_002290,mutation_3.0-0.0,653.0,653.0,0.0,1540.0
56,464.0,464.0,0.0,BBF10K_002296,mutation_0.0-1.0,510.0,511.0,1.0,1243.0
57,454.0,454.0,0.0,BBF10K_002305,sequence_confirmed,538.0,538.0,0.0,757.0
58,441.0,441.0,0.0,BBF10K_002338,sequence_confirmed,542.0,542.0,0.0,859.0
59,566.0,566.0,0.0,BBF10K_002339,mutation_0.0-1.0,485.0,486.0,1.0,844.0
60,489.0,489.0,0.0,BBF10K_002347,mutation_0.0-6.0,484.0,490.0,6.0,586.0
61,442.0,442.0,0.0,BBF10K_002362,sequence_confirmed,547.0,547.0,0.0,829.0
62,513.0,513.0,0.0,BBF10K_002389,sequence_confirmed,587.0,587.0,0.0,1099.0
63,542.0,543.0,1.0,BBF10K_002404,mutation_1.0-0.0,562.0,562.0,0.0,1075.0
64,542.0,543.0,1.0,BBF10K_002426,mutation_1.0-0.0,559.0,559.0,0.0,856.0
65,531.0,531.0,0.0,BBF10K_002438,sequence_confirmed,462.0,462.0,0.0,910.0
66,310.0,310.0,0.0,BBF10K_002453,sequence_confirmed,563.0,563.0,0.0,1027.0
67,215.0,494.0,279.0,BBF10K_002469,sequence_failure,236.0,534.0,298.0,1447.0
68,488.0,494.0,6.0,BBF10K_002453,cloning_error,497.0,534.0,37.0,825.0
69,212.0,212.0,0.0,BBF10K_002491,sequence_confirmed,522.0,522.0,0.0,1468.0
70,458.0,459.0,1.0,BBF10K_002499,mutation_1.0-2.0,515.0,517.0,2.0,739.0
71,482.0,482.0,0.0,BBF10K_002526,sequence_confirmed,580.0,580.0,0.0,1228.0
72,459.0,459.0,0.0,BBF10K_002827,sequence_confirmed,516.0,516.0,0.0,685.0
73,542.0,544.0,2.0,BBF10K_002548,mutation_2.0-4.0,503.0,507.0,4.0,625.0
74,237.0,451.0,214.0,BBF10K_002557,cloning_mutation,235.0,461.0,226.0,703.0
75,332.0,451.0,7.0,BBF10K_002582,cloning_error,339.0,461.0,0.0,339.0
76,191.0,461.0,270.0,BBF10K_002582,sequence_confirmed,214.0,551.0,327.0,541.0
77,461.0,461.0,0.0,BBF10K_002557,cloning_error,501.0,551.0,0.0,501.0
78,0.0,3.0,3.0,BBF10K_002602,bad_reverse,95.0,300.0,205.0,862.0
79,399.0,399.0,0.0,BBF10K_002605,sequence_confirmed,543.0,543.0,0.0,850.0
80,504.0,504.0,0.0,BBF10K_002653,sequence_confirmed,518.0,518.0,0.0,703.0
81,0.0,3.0,3.0,BBF10K_002689,bad_reverse,102.0,325.0,223.0,511.0
82,0.0,3.0,3.0,BBF10K_002732,bad_reverse,134.0,449.0,315.0,1024.0
83,422.0,422.0,0.0,BBF10K_002752,mutation_0.0-6.0,417.0,423.0,6.0,505.0
84,437.0,442.0,5.0,BBF10K_002754,mutation_5.0-6.0,417.0,423.0,6.0,517.0
85,236.0,236.0,0.0,BBF10K_002763,mutation_0.0-1.0,499.0,500.0,1.0,1252.0
86,416.0,416.0,0.0,BBF10K_002786,sequence_confirmed,463.0,463.0,0.0,979.0
87,539.0,540.0,1.0,BBF10K_002847,mutation_1.0-5.0,478.0,483.0,5.0,625.0
88,0.0,3.0,3.0,BBF10K_002854,bad_reverse,143.0,387.0,244.0,1249.0
89,0.0,3.0,3.0,BBF10K_002871,bad_reverse,157.0,463.0,306.0,1072.0
90,0.0,3.0,3.0,BBF10K_002906,mutation_3.0-0.0,591.0,591.0,0.0,1228.0
91,492.0,492.0,0.0,BBF10K_002937,sequence_confirmed,502.0,502.0,0.0,667.0
92,334.0,334.0,0.0,BBF10K_002939,mutation_0.0-6.0,448.0,454.0,6.0,565.0
93,518.0,518.0,0.0,BBF10K_003009,sequence_confirmed,448.0,448.0,0.0,1000.0
94,340.0,340.0,0.0,BBF10K_003015,sequence_confirmed,467.0,467.0,0.0,1246.0
95,402.0,402.0,0.0,BBF10K_003028,sequence_confirmed,532.0,532.0,0.0,1630.0
96,381.0,381.0,0.0,BBF10K_003086,mutation_0.0-1.0,542.0,543.0,1.0,1408.0
97,313.0,313.0,0.0,BBF10K_003093,sequence_confirmed,554.0,554.0,0.0,916.0
