,Gene,Gene Name,Target,For Length,For Score,Rev Length,Rev Score,Gene Length,Outcome,Manual
43,BBF10K_000042,MMSYN1_0107,backbone,358,156,543,225,893,Bad clone,Unknown Sequence
44,BBF10K_000391,MMSYN1_0877,gene,535,535,464,464,681,Perfect,0
45,BBF10K_000140,MMSYN1_0325,gene,513,513,523,523,1491,Perfect,0
46,BBF10K_000404,MMSYN1_0910,gene,532,135,500,135,135,Perfect,0
47,BBF10K_000385,MMSYN1_0859,gene,376,376,337,337,1962,Perfect,0
48,BBF10K_000233,MMSYN1_0494,gene,518,516,529,527,681,Mutation: 2.0 2.0,1
49,BBF10K_000233,MMSYN1_0494,backbone,518,218,529,222,893,Bad clone,1
50,BBF10K_000331,MMSYN1_0730,gene,479,479,531,531,600,Perfect,0
51,BBF10K_000177,MMSYN1_0392,gene,489,303,521,303,303,Perfect,0
52,BBF10K_000142,MMSYN1_0327,gene,527,527,535,535,837,Perfect,0
53,BBF10K_000019,MMSYN1_0039,gene,508,508,482,482,1947,Perfect,0
54,BBF10K_000055,MMSYN1_0132,gene,480,480,494,494,1062,Perfect,0
55,BBF10K_000043,MMSYN1_0108,gene,485,485,516,516,1113,Perfect,0
56,BBF10K_000075,MMSYN1_0166,gene,516,516,521,519,1011,Mutation: 0.0 2.0,1
57,BBF10K_000075,MMSYN1_0166,backbone,516,215,521,213,893,Bad clone,1
58,BBF10K_000418,MMSYN1_0199,gene,527,192,543,192,192,Perfect,0
59,BBF10K_000420,MMSYN1_0422,gene,530,198,523,198,198,Perfect,0
60,BBF10K_000424,MMSYN1_0105,gene,475,215,569,215,216,Mutation: 1.0 1.0,Partial
61,BBF10K_000424,MMSYN1_0105,backbone,475,197,569,234,893,Bad clone,Partial
62,BBF10K_000562,aphA5a,gene,535,535,524,524,807,Perfect,0
63,BBF10K_000563,ADGRB1,gene,481,480,504,503,4755,Mutation: 1.0 1.0,1
64,BBF10K_000563,ADGRB1,backbone,481,203,504,217,893,Bad clone,1
65,BBF10K_000564,CCNB3,gene,461,461,525,525,4188,Perfect,0
66,BBF10K_000565,CCNG2,gene,532,532,492,492,1035,Perfect,0
67,BBF10K_000567,DDB2,gene,467,467,494,494,1284,Perfect,0
68,BBF10K_000568,RPRM,gene,468,330,510,330,330,Perfect,0
69,BBF10K_000569,FAS,gene,504,501,529,529,1008,Mutation: 3.0 0.0,1
70,BBF10K_000569,FAS,backbone,504,219,529,220,893,Bad clone,1
71,BBF10K_000570,TP53AIP1,gene,507,375,553,375,375,Perfect,0
72,BBF10K_000571,EI24,gene,363,363,554,554,1023,Perfect,0
73,BBF10K_000572,ZMAT3,gene,508,508,520,520,870,Perfect,0
74,BBF10K_000573,SHISA5,gene,465,465,523,523,723,Perfect,0
75,BBF10K_000574,C1r,gene,509,509,539,539,2118,Perfect,0
76,BBF10K_000575,C1s,gene,474,474,533,533,2067,Perfect,0
77,BBF10K_000576,C2,gene,492,492,510,474,2259,Bad Reverse,Incomplete
78,BBF10K_000576,C2,backbone,492,203,510,214,893,Bad clone,Incomplete
79,BBF10K_000577,C3,gene,504,504,536,536,4992,Perfect,0
80,BBF10K_000578,C4_precursor_C4a-C4b,gene,498,498,561,561,5235,Perfect,0
81,BBF10K_000579,C5,gene,542,542,504,229,5031,Bad Reverse,1
82,BBF10K_000579,C5,backbone,542,221,504,213,893,Bad clone,1
83,BBF10K_000580,C6,gene,522,522,547,546,2805,Mutation: 0.0 1.0,1
84,BBF10K_000580,C6,backbone,522,218,547,229,893,Bad clone,1
85,BBF10K_000581,C7,gene,522,522,520,520,2532,Perfect,0
86,BBF10K_000582,C9,gene,541,541,403,402,1680,Mutation: 0.0 1.0,1
87,BBF10K_000582,C9,backbone,541,233,403,173,893,Bad clone,1
88,BBF10K_000600,geranyl_diphosphate_synthase,gene,424,424,453,453,894,Perfect,0
89,BBF10K_000615,ApmR,gene,496,496,555,555,804,Perfect,0
90,BBF10K_000609,Kan_BS,gene,526,526,527,527,771,Perfect,0
91,BBF10K_000586,BMST1,gene,523,523,391,391,1074,Perfect,0
92,BBF10K_000592,4S-limonene_synthase,gene,534,532,526,520,1632,Mutation: 2.0 6.0,1
93,BBF10K_000592,4S-limonene_synthase,backbone,534,227,526,225,893,Bad clone,1
94,BBF10K_000589,pchA,gene,524,524,515,515,1431,Perfect,0
95,BBF10K_000604,2-ODD,gene,529,529,524,524,933,Perfect,0
96,BBF10K_000588,blcR,gene,484,484,541,541,828,Perfect,0
97,BBF10K_000608,ATR2,gene,545,545,533,533,2136,Perfect,0
98,BBF10K_000599,isopentenyl-diphosphate_Delta-isomerase,gene,481,481,558,555,555,Perfect,0
99,BBF10K_000587,chrB,gene,507,507,487,487,939,Perfect,0
100,BBF10K_000613,SmR,gene,503,503,505,505,792,Perfect,0
101,BBF10K_000627,Tobacco_ascpf1,gene,498,219,513,226,3924,Bad clone,Original Vector Sequence
102,BBF10K_000627,Tobacco_ascpf1,backbone,498,498,513,513,893,Perfect,Original Vector Sequence
103,BBF10K_000597,phosphomevalonate_kinase,gene,531,531,543,543,1356,Perfect,0
104,BBF10K_000605,CYP71BE54,gene,242,242,562,560,1524,Mutation: 0.0 2.0,1
105,BBF10K_000605,CYP71BE54,backbone,242,104,562,243,893,Bad clone,1
106,BBF10K_000611,TetR,gene,533,533,552,552,1191,Perfect,0
107,BBF10K_000610,aad9,gene,510,510,528,528,675,Perfect,0
108,BBF10K_000612,AmpR,gene,472,472,554,554,861,Perfect,0
109,BBF10K_000622,AmkR,gene,474,474,414,414,759,Perfect,0
110,BBF10K_000623,HygR,gene,526,526,484,484,1026,Perfect,0
111,BBF10K_000603,OMT1,gene,523,523,590,590,1050,Perfect,0
112,BBF10K_000626,Maize_ascpf1,gene,484,213,559,250,3924,Bad clone,Unknown Sequence
113,BBF10K_000626,Maize_ascpf1,backbone,484,203,559,233,893,Bad clone,Unknown Sequence
114,BBF10K_000625,Arabidopsis_ascpf1,gene,512,512,566,563,3924,Mutation: 0.0 3.0,1
115,BBF10K_000625,Arabidopsis_ascpf1,backbone,512,216,566,238,893,Bad clone,1
116,BBF10K_000584,Fluc_LmiTS2,gene,520,520,544,544,1647,Perfect,0
117,BBF10K_000593,acetyl-CoA_C-acyltransferase,gene,481,481,538,535,1185,Mutation: 0.0 3.0,1
118,BBF10K_000593,acetyl-CoA_C-acyltransferase,backbone,481,201,538,225,893,Bad clone,1
119,BBF10K_000310,MMSYN1_0672,gene,491,309,530,309,309,Perfect,0
120,BBF10K_000038,MMSYN1_0094,gene,511,511,531,531,717,Perfect,0
121,BBF10K_000080,MMSYN1_0196,gene,516,516,523,523,993,Perfect,0
